"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","MF","MP"
"3.3V1,5V1,MOTOR1,SW3,USB1","5","LED","","","","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","",""
"3v3,5V2,GND1","3","TestPoint","","","","TestPoint:TestPoint_Pad_2.0x2.0mm","~","",""
"C1","1","220uf","","","","Capacitor_SMD:CP_Elec_10x10","","",""
"C2,C3","2","10uf","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","",""
"C4","1","0.1uF","","","","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","~","",""
"C5,C6,C9,C17,C18,C22","6","22uF","","","","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","~","",""
"C7,C13,C16,C20,C23,C24","6","0.1uF","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","",""
"C8,C21","2","1uF","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","",""
"C14,C15","2","10uF 25v","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","",""
"C19","1","1000uF","","","","Capacitor_SMD:CP_Elec_10x10","","",""
"C25","1","4.7uF","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","",""
"D1","1","SMAJ13A","","","","Diode_SMD:D_SMA","https://www.littelfuse.com/media?resourcetype=datasheets&itemid=75e32973-b177-4ee3-a0ff-cedaf1abdb93&filename=smaj-datasheet","",""
"D2,D3","2","SS14","","","","Diode_SMD:D_SMA","https://www.vishay.com/docs/88746/ss12.pdf,~","",""
"F1","1","Polyfuse","","","","Fuse:Fuse_1812_4532Metric","~","",""
"FB1","1","600","","","","Inductor_SMD:L_1206_3216Metric","~","",""
"J1,J10","2","Conn_01x04_Pin","","","","Connector_JST:JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical","~","",""
"J2,J3,J4,J5","4","Conn_01x03_Pin","","","","Connector_JST:JST_XH_B3B-XH-AM_1x03_P2.50mm_Vertical","~","",""
"J6,J7","2","Conn_01x02_Pin","","","","Connector_JST:JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical","~","",""
"J8","1","USB_C_Receptacle","","","","Connector_USB:USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","",""
"J9","1","Conn_01x08_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","~","",""
"J11","1","Conn_01x08_Pin","","","","Connector_JST:JST_XH_B8B-XH-AM_1x08_P2.50mm_Vertical","~","",""
"J12","1","Conn_01x08_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","",""
"L1,L2","2","3.3uH","","","","LocalFeet:IND_SPM6530T-3R3M","~","TDK","SPM6530T-3R3M"
"Q1","1","DMP3013SFV","","","","Package_SON:Diodes_PowerDI3333-8","https://www.diodes.com/assets/Datasheets/DMP3013SFV.pdf","","DMP3013SFV-7"
"R1,R2,R15,R24,R29","5","100k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","",""
"R5","1","54.9k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","",""
"R6,R14,R18,R19","4","10k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","",""
"R9,R10,R11,R12","4","330","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","",""
"R13","1","35.7k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","",""
"R16,R17","2","5.1k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","",""
"R20,R22","2","1.5k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","",""
"R21,R23,R26","3","680","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","",""
"R25","1","120","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","",""
"R27,R28","2","33","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","",""
"SW1,SW2","2","SW_Push","","","","Button_Switch_SMD:SW_SPST_PTS645Sx43SMTR92","~","",""
"U1","1","74AHCT125","","","","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","https://www.ti.com/lit/ds/symlink/sn74ahct125.pdf","","SN74AHCT125NSR"
"U3","1","TPS563201DDCR","","","","Package_TO_SOT_SMD:TSOT-23-6_HandSoldering","","Texas Instruments","TPS563201DDCR"
"U4","1","ESP32-S3-WROOM-1","","","","RF_Module:ESP32-S3-WROOM-2","https://www.espressif.com/sites/default/files/documentation/esp32-s3-wroom-2_datasheet_en.pdf","","ESP32-S3-WROOM-1-N8"
"U5","1","AP2112K-3.3","","","","Package_TO_SOT_SMD:SOT-23-5","https://www.diodes.com/assets/Datasheets/AP2112.pdf","","AP2112K-3.3TRG1"
"U6","1","USBLC6-2SC6","","","","Package_TO_SOT_SMD:SOT-23-6","https://www.st.com/resource/en/datasheet/usblc6-2.pdf","","USBLC6-2SC6"
"U7","1","THVD1400D","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://www.ti.com/lit/ds/symlink/thvd1420.pdf","","THVD1400DR"
"U8","1","SM712","","","","LocalFeet:SOT23-WIDE","","Semtech","SM712"
"U9","1","TPS565201DDCR","","","","LocalFeet:SOT95P280X110-6N","","Texas Instruments","TPS565201DDCR"
